ts,open,high,low,close,volume,instrument,asset_type
2024-05-14 04:33:53.112963,71706.9029229035,72198.33555606322,69209.65535196867,71098.40456054833,1469325,BTC/USDT,crypto
2024-05-14 08:33:53.112963,70725.44676160562,72369.92727316132,69021.70682589426,70813.2658845227,1250208,BTC/USDT,crypto
2024-05-14 12:33:53.112963,72397.71995815131,74836.20936873285,69967.67895767458,72925.4665666738,1152370,BTC/USDT,crypto
2024-05-14 16:33:53.112963,70697.67238146938,72102.06140012029,70048.6011925834,70635.88008400456,833580,BTC/USDT,crypto
2024-05-14 20:33:53.112963,74147.97701805885,76289.03785762562,72125.42521136576,73909.40422183753,771714,BTC/USDT,crypto
2024-05-15 00:33:53.112963,73742.34033712365,74250.48633928188,73175.4150180452,73462.44552658845,333912,BTC/USDT,crypto
2024-05-15 04:33:53.112963,76718.36050574903,78377.99316623613,75971.52372885194,76382.43471648295,1477720,BTC/USDT,crypto
2024-05-15 08:33:53.112963,74788.4559689056,75031.42659459241,73205.61813651868,74887.86267775831,1105365,BTC/USDT,crypto
2024-05-15 12:33:53.112963,69906.6776279447,70839.33870354052,69158.07947647289,70375.51269160182,924014,BTC/USDT,crypto
2024-05-15 16:33:53.112963,67824.18953040006,68388.33741045509,65252.03342654446,67472.28475123143,306879,BTC/USDT,crypto
2024-05-15 20:33:53.112963,71722.09387298292,72293.12344049945,70287.59635677838,71716.99183459816,383373,BTC/USDT,crypto
2024-05-16 00:33:53.112963,70177.35904279491,70608.17528568157,68778.76156513195,70454.41441036241,601560,BTC/USDT,crypto
2024-05-16 04:33:53.112963,75691.50270764586,77832.73469895645,75192.76765799633,75280.36518888481,1130697,BTC/USDT,crypto
2024-05-16 08:33:53.112963,74289.05308176881,75057.98857192806,74099.02191944189,74115.93211394404,419533,BTC/USDT,crypto
2024-05-16 12:33:53.112963,75621.35389116584,75854.3730236976,73144.46548708263,75055.94626703921,461539,BTC/USDT,crypto
2024-05-16 16:33:53.112963,75265.69924640477,75449.0137545699,73318.04959179246,75044.13665818829,2116067,BTC/USDT,crypto
2024-05-16 20:33:53.112963,80924.56640588358,83500.84197971162,77901.17798191383,80323.1533019609,2635748,BTC/USDT,crypto
2024-05-17 00:33:53.112963,82719.74359372437,83500.4890964991,79963.09799828507,82581.35094679656,681950,BTC/USDT,crypto
2024-05-17 04:33:53.112963,85980.33296317246,89389.57504782862,83545.9512695054,85771.66702981529,632954,BTC/USDT,crypto
2024-05-17 08:33:53.112963,86186.18508458178,87971.66532477623,82376.70707485295,85424.29882573737,1560839,BTC/USDT,crypto
2024-05-17 12:33:53.112963,92728.942564668,93438.42628706865,90240.03273123046,92332.44652412817,405653,BTC/USDT,crypto
2024-05-17 16:33:53.112963,94041.80809693974,97572.87424587444,93572.3229076911,94833.49030433616,711814,BTC/USDT,crypto
2024-05-17 20:33:53.112963,95758.87970661899,96075.92482987086,93267.78822881043,95941.81961052773,579770,BTC/USDT,crypto
2024-05-18 00:33:53.112963,97069.3072300523,98360.98997969361,95408.78866162624,97471.527412184,602585,BTC/USDT,crypto
2024-05-18 04:33:53.112963,96441.5328646003,97809.09737492088,92201.3693627377,96010.79070692087,2366594,BTC/USDT,crypto
2024-05-18 08:33:53.112963,100584.62385226929,101408.30577658764,97443.32630489474,99620.62851159628,654361,BTC/USDT,crypto
2024-05-18 12:33:53.112963,93926.24810322556,96404.92993162395,90897.23891752929,94633.13173255161,694384,BTC/USDT,crypto
2024-05-18 16:33:53.112963,97864.15013452542,101412.30270130013,97590.02062162476,97612.50724076487,648268,BTC/USDT,crypto
2024-05-18 20:33:53.112963,96931.21568564785,100857.75395158416,95278.65043934553,97857.7133149641,1095361,BTC/USDT,crypto
2024-05-19 00:33:53.112963,102978.96824005575,107100.37459008682,102574.48625487708,103790.27634905347,745411,BTC/USDT,crypto
