ts,instrument,entry,side,stop_loss,take_profit,strategy_type,short_ma,long_ma,crossover_strength,strategy_name,ob_low,ob_high,tap_distance,confidence,vwap_value,rsi_value,deviation_pct,price_low1,price_low2,rsi_low1,rsi_low2,divergence_strength,price_high1,price_high2,rsi_high1,rsi_high2
2024-05-21 12:33:53.112963,BTC/USDT,92618.93454567522,-1,103421.1884884923,73174.87744860447,MA_CROSSOVER_BEAR,97119.43917288425,97354.05172975754,0.9975901099881846,ma_crossover,,,,,,,,,,,,,,,,
2024-05-26 12:33:53.112963,BTC/USDT,84674.75673731418,1,77929.43532042234,96816.33528771948,MA_CROSSOVER_BULL,79549.46729783248,79224.8414555661,1.0040975259312883,ma_crossover,,,,,,,,,,,,,,,,
2024-06-03 08:33:53.112963,BTC/USDT,99839.21075567967,-1,109846.34959069484,81826.36085265236,MA_CROSSOVER_BEAR,105600.04712348673,106217.41816200544,0.994187666682153,ma_crossover,,,,,,,,,,,,,,,,
2024-06-10 00:33:53.112963,BTC/USDT,84413.9326540591,1,76931.86439866772,97881.65551376359,MA_CROSSOVER_BULL,81888.39866605384,81868.40674400449,1.0002441958118455,ma_crossover,,,,,,,,,,,,,,,,
2024-06-10 20:33:53.112963,BTC/USDT,83964.3310157018,1,75847.69512074272,98574.27562662814,MA_CROSSOVER_BULL,82349.48760543323,82140.20877783617,1.002547824393326,ma_crossover,,,,,,,,,,,,,,,,
2024-06-11 08:33:53.112963,BTC/USDT,76394.41485902901,-1,84723.43254428243,61402.18302557286,MA_CROSSOVER_BEAR,81792.22886419816,82000.49177935028,0.9974602235836277,ma_crossover,,,,,,,,,,,,,,,,
2024-06-16 12:33:53.112963,BTC/USDT,83518.47801792323,1,77517.55905268839,94320.13215534596,MA_CROSSOVER_BULL,77986.06480672727,77486.99228150085,1.0064407265081776,ma_crossover,,,,,,,,,,,,,,,,
2024-06-19 00:33:53.112963,BTC/USDT,75925.93724396091,-1,82145.09352020654,64731.45594671878,MA_CROSSOVER_BEAR,79639.19632197403,79977.96961816239,0.9957641673350078,ma_crossover,,,,,,,,,,,,,,,,
2024-06-20 00:33:53.112963,BTC/USDT,81321.31209542963,1,75713.48046559734,91415.40902912775,MA_CROSSOVER_BULL,80313.31347112767,80197.29184281387,1.001446702571219,ma_crossover,,,,,,,,,,,,,,,,
2024-06-26 08:33:53.112963,BTC/USDT,95395.52318185534,-1,104214.34225251325,79521.64885467112,MA_CROSSOVER_BEAR,101726.94741774541,102498.09492127845,0.9924764698882911,ma_crossover,,,,,,,,,,,,,,,,
2024-07-11 04:33:53.112963,BTC/USDT,58159.12339526629,1,53306.01621227964,66894.71632464226,MA_CROSSOVER_BULL,53867.49720600933,53576.82377251877,1.005425357701769,ma_crossover,,,,,,,,,,,,,,,,
2024-07-13 08:33:53.112963,BTC/USDT,51658.1949213003,-1,55910.08338721814,44004.7956826482,MA_CROSSOVER_BEAR,55119.506905813476,55501.58833515803,0.9931158469368971,ma_crossover,,,,,,,,,,,,,,,,
2024-07-15 00:33:53.112963,BTC/USDT,56127.52980352874,1,51375.819936138374,64680.6075648314,MA_CROSSOVER_BULL,54889.907762293806,54798.59549467534,1.0016663249631523,ma_crossover,,,,,,,,,,,,,,,,
2024-07-16 08:33:53.112963,BTC/USDT,50631.93688992179,-1,55863.84171851033,41214.50819846241,MA_CROSSOVER_BEAR,54426.33569009902,54899.80021656719,0.991375842451148,ma_crossover,,,,,,,,,,,,,,,,
2024-07-17 16:33:53.112963,BTC/USDT,61753.82570486387,1,56851.70763259949,70577.63823493975,MA_CROSSOVER_BULL,55570.20763888026,54868.920456961365,1.0127811368636088,ma_crossover,,,,,,,,,,,,,,,,
2024-07-18 20:33:53.112963,BTC/USDT,51386.866839514,-1,57070.10759546334,41157.03347880518,MA_CROSSOVER_BEAR,54066.191975922295,54378.359684266965,0.9942593393740233,ma_crossover,,,,,,,,,,,,,,,,
2024-07-22 20:33:53.112963,BTC/USDT,53111.18832222024,1,49710.974221062366,59231.57370430441,MA_CROSSOVER_BULL,48203.6809735239,47718.2716062253,1.0101724004445138,ma_crossover,,,,,,,,,,,,,,,,
2024-07-25 04:33:53.112963,BTC/USDT,51109.34753726829,1,46010.5200168503,60287.23707402067,MA_CROSSOVER_BULL,49016.01873365502,48804.67216520147,1.0043304577016348,ma_crossover,,,,,,,,,,,,,,,,
2024-07-29 12:33:53.112963,BTC/USDT,51916.87373727758,-1,56591.92816528234,43501.77576686901,MA_CROSSOVER_BEAR,55153.78309509487,55419.95755269216,0.9951971371081578,ma_crossover,,,,,,,,,,,,,,,,
2024-07-30 08:33:53.112963,BTC/USDT,60892.42859613217,1,56263.42615820818,69224.63298439536,MA_CROSSOVER_BULL,55722.78587929418,55418.92754698479,1.0054829341843863,ma_crossover,,,,,,,,,,,,,,,,
2024-08-07 04:33:53.112963,BTC/USDT,74616.98682714839,-1,81957.0605059939,61404.85420522647,MA_CROSSOVER_BEAR,79784.63512785436,79932.62812534055,0.998148528317446,ma_crossover,,,,,,,,,,,,,,,,
2024-08-15 04:33:53.112963,BTC/USDT,60723.41284677557,1,56878.793760039436,67643.72720290061,MA_CROSSOVER_BULL,56127.12536668813,56026.29098427303,1.0017997690127909,ma_crossover,,,,,,,,,,,,,,,,
2024-08-26 08:33:53.112963,BTC/USDT,73919.29581044159,-1,80501.32220529571,62071.64829970416,MA_CROSSOVER_BEAR,77133.33616848936,77362.81312690736,0.9970337562823425,ma_crossover,,,,,,,,,,,,,,,,
2024-08-28 12:33:53.112963,BTC/USDT,79067.68143265211,1,73320.75613119507,89412.1469752748,MA_CROSSOVER_BULL,74584.56689223046,74521.71682817988,1.0008433791748987,ma_crossover,,,,,,,,,,,,,,,,
2024-09-04 04:33:53.112963,BTC/USDT,119900.93038699607,1,108909.86059730992,139684.85600843115,MA_CROSSOVER_BULL,114560.0129747635,114158.49556306405,1.0035171925638915,ma_crossover,,,,,,,,,,,,,,,,
2024-09-07 16:33:53.112963,BTC/USDT,112388.84555991438,-1,123652.06529334332,92115.05003974229,MA_CROSSOVER_BEAR,121116.45724574958,121562.37304847628,0.99633179419302,ma_crossover,,,,,,,,,,,,,,,,
2024-09-08 20:33:53.112963,BTC/USDT,117927.01091957268,-1,129887.33533492695,96398.42697193501,MA_CROSSOVER_BEAR,120873.39902809515,120955.52126169519,0.9993210542789331,ma_crossover,,,,,,,,,,,,,,,,
2024-09-09 08:33:53.112963,BTC/USDT,126474.330962346,1,115466.82779458168,146287.83666432175,MA_CROSSOVER_BULL,122029.87045710799,121450.76448247538,1.0047682365533086,ma_crossover,,,,,,,,,,,,,,,,
2024-09-10 08:33:53.112963,BTC/USDT,124994.20625576531,1,114289.09676843927,144263.40333295218,MA_CROSSOVER_BULL,122474.9889039653,122214.54835420764,1.002131011023359,ma_crossover,,,,,,,,,,,,,,,,
2024-09-13 20:33:53.112963,BTC/USDT,109333.88430732132,-1,122851.52047972247,85002.13919699925,MA_CROSSOVER_BEAR,126599.93342751086,128438.32606718094,0.9856865727235615,ma_crossover,,,,,,,,,,,,,,,,
2024-09-21 00:33:53.112963,BTC/USDT,102881.12876993435,-1,112609.03985901145,85370.88880959558,MA_CROSSOVER_BEAR,106661.64678792875,106771.36838235418,0.9989723687530864,ma_crossover,,,,,,,,,,,,,,,,
2024-09-21 12:33:53.112963,BTC/USDT,112924.44342674421,1,102604.32876188267,131500.64982349498,MA_CROSSOVER_BULL,107797.40000565902,107234.73604946276,1.0052470307376586,ma_crossover,,,,,,,,,,,,,,,,
2024-09-22 16:33:53.112963,BTC/USDT,99739.59619609966,-1,109304.63623793989,82522.52412078725,MA_CROSSOVER_BEAR,106803.07309337633,107435.90369757326,0.9941096916168889,ma_crossover,,,,,,,,,,,,,,,,
2024-09-23 20:33:53.112963,BTC/USDT,118646.33202399728,1,109362.8494529661,135356.60065185343,MA_CROSSOVER_BULL,108457.58871046215,107585.71701985883,1.0081039724858867,ma_crossover,,,,,,,,,,,,,,,,
2024-10-01 04:33:53.112963,BTC/USDT,171505.64747119453,-1,189829.1178269555,138523.40083082477,MA_CROSSOVER_BEAR,177009.5407426965,177233.92816181382,0.99873394771845,ma_crossover,,,,,,,,,,,,,,,,
2024-10-10 12:33:53.112963,BTC/USDT,134292.08957215655,1,124185.19038013689,152484.50811779193,MA_CROSSOVER_BULL,122308.44338953448,120683.97816026729,1.0134604879125704,ma_crossover,,,,,,,,,,,,,,,,
2024-10-15 16:33:53.112963,BTC/USDT,129757.12110308804,-1,145353.61903973023,101683.4248171321,MA_CROSSOVER_BEAR,141238.91014529765,141719.50713690056,0.9966088155306759,ma_crossover,,,,,,,,,,,,,,,,
2024-10-17 08:33:53.112963,BTC/USDT,143755.36530035842,1,130867.54821399119,166953.43605581942,MA_CROSSOVER_BULL,138998.5336097989,138743.57520939165,1.0018376231117188,ma_crossover,,,,,,,,,,,,,,,,
2024-10-20 20:33:53.112963,BTC/USDT,145983.62433138143,-1,161394.8436071183,118243.42963505509,MA_CROSSOVER_BEAR,150240.0087557886,150580.33245189502,0.9977399193469364,ma_crossover,,,,,,,,,,,,,,,,
2024-10-21 12:33:53.112963,BTC/USDT,155903.97305332232,1,139760.05440871677,184963.0266136123,MA_CROSSOVER_BULL,151452.75885637192,151011.42404313036,1.0029225260011818,ma_crossover,,,,,,,,,,,,,,,,
2024-10-29 12:33:53.112963,BTC/USDT,221700.64284399105,-1,249313.93673796786,171996.7138348328,MA_CROSSOVER_BEAR,233134.428378834,233374.45909681046,0.9989714782032901,ma_crossover,,,,,,,,,,,,,,,,
2024-11-03 16:33:53.112963,BTC/USDT,196983.1145497707,-1,214533.2564233899,165392.85917725612,MA_CROSSOVER_BEAR,202826.91646532126,203609.62171829294,0.9961558533120081,ma_crossover,,,,,,,,,,,,,,,,
2024-11-05 00:33:53.112963,BTC/USDT,218952.7491322775,1,203272.18321757173,247177.7677787479,MA_CROSSOVER_BULL,204383.44965573054,202811.11253248094,1.007752716819192,ma_crossover,,,,,,,,,,,,,,,,
2024-11-10 04:33:53.112963,BTC/USDT,239635.2302311115,-1,259000.94679035072,204776.94042448088,MA_CROSSOVER_BEAR,245871.1744703795,246190.6971585003,0.9987021333794954,ma_crossover,,,,,,,,,,,,,,,,
2024-11-11 04:33:53.112963,BTC/USDT,252212.10262061373,1,233562.1384728878,285782.0380865204,MA_CROSSOVER_BULL,245344.76218542247,245193.94561000235,1.0006150909438034,ma_crossover,,,,,,,,,,,,,,,,
2024-11-17 20:33:53.112963,BTC/USDT,286593.93883814267,-1,314297.97885655257,236726.66680500485,MA_CROSSOVER_BEAR,301872.7352711849,302408.5684618044,0.9982281150519476,ma_crossover,,,,,,,,,,,,,,,,
2024-11-21 16:33:53.112963,BTC/USDT,290317.245284578,1,270612.8234685516,325785.2045534255,MA_CROSSOVER_BULL,280546.1892986905,279593.5688676892,1.0034071614553197,ma_crossover,,,,,,,,,,,,,,,,
2024-11-22 08:33:53.112963,BTC/USDT,261107.5257257828,-1,282687.28154901945,222263.9652439568,MA_CROSSOVER_BEAR,275837.69330312236,277773.6054714049,0.9930306115118565,ma_crossover,,,,,,,,,,,,,,,,
2024-12-01 16:33:53.112963,BTC/USDT,194611.90014177404,1,176630.95859491106,226977.59492612738,MA_CROSSOVER_BULL,182606.64097959807,181945.3752794975,1.0036344188418351,ma_crossover,,,,,,,,,,,,,,,,
2024-12-05 20:33:53.112963,BTC/USDT,174248.54447475154,-1,192895.32295661778,140684.34320739232,MA_CROSSOVER_BEAR,196008.54123471538,198475.46429311307,0.9875706396899796,ma_crossover,,,,,,,,,,,,,,,,
2024-12-06 20:33:53.112963,BTC/USDT,211608.84645353956,1,191433.84709379432,247923.845301081,MA_CROSSOVER_BULL,199607.19874642786,198243.64858638862,1.0068781530695297,ma_crossover,,,,,,,,,,,,,,,,
2024-12-11 20:33:53.112963,BTC/USDT,192436.90438204477,-1,213852.3220249705,153889.15262477848,MA_CROSSOVER_BEAR,220820.68624998687,224642.34126442953,0.9829878241433384,ma_crossover,,,,,,,,,,,,,,,,
2024-12-21 00:33:53.112963,BTC/USDT,170254.0228550928,1,157143.52563766786,193852.91784645768,MA_CROSSOVER_BULL,160081.02590456806,158903.89016822205,1.0074078471905241,ma_crossover,,,,,,,,,,,,,,,,
2024-12-25 16:33:53.112963,BTC/USDT,155292.20461608277,-1,168722.62952646834,131117.43977738876,MA_CROSSOVER_BEAR,167493.2967576798,167925.63582713765,0.9974254135330303,ma_crossover,,,,,,,,,,,,,,,,
2024-12-28 00:33:53.112963,BTC/USDT,161704.80637330833,-1,175237.10716604372,137346.6649463846,MA_CROSSOVER_BEAR,164315.1671655327,164336.78612103302,0.9998684472538949,ma_crossover,,,,,,,,,,,,,,,,
2024-12-29 04:33:53.112963,BTC/USDT,168930.4048660442,1,156342.1842402576,191589.2019924601,MA_CROSSOVER_BULL,164912.75634753332,164378.26040859806,1.003251621823997,ma_crossover,,,,,,,,,,,,,,,,
2024-12-31 08:33:53.112963,BTC/USDT,161219.94895485934,-1,176826.05951068207,133128.94995437842,MA_CROSSOVER_BEAR,167770.56539530668,168519.16537960092,0.9955577753865089,ma_crossover,,,,,,,,,,,,,,,,
2025-01-01 16:33:53.112963,BTC/USDT,174522.64885505446,1,159901.68333276286,200840.38679517934,MA_CROSSOVER_BULL,167545.140496567,167184.77844243386,1.0021554716732615,ma_crossover,,,,,,,,,,,,,,,,
2025-01-03 12:33:53.112963,BTC/USDT,155603.49504156408,-1,171518.50449483588,126956.47802567482,MA_CROSSOVER_BEAR,171625.70115593623,172802.0563643937,0.9931924698513028,ma_crossover,,,,,,,,,,,,,,,,
2025-01-07 04:33:53.112963,BTC/USDT,171563.86650374267,1,158537.5291871399,195011.27367362764,MA_CROSSOVER_BULL,153853.37427756502,153153.19134101315,1.0045717815634205,ma_crossover,,,,,,,,,,,,,,,,
